我   ua2 I, me
爾   lw2 you, singular
伊   i1  he, she, it, they
我等  * un2,wun2  we, excluding the hearer
俺們  * nan2  we, including the hearer
汝們  * nin2  you, plural
去   khu3  go
欲   ainn3 wish, will
不   put4,m7,m6  no, not
呢 * ne7 interrogative, expressing doubt.
嗎 * me7 interrogative particle.
